font,os,count
Earth,Windows,21
Ume Mincho S3,Linux,59
Ume P Gothic S5,Linux,59
Nimbus Sans Narrow,Linux,29
MotoyaG04Gothic,Chrome OS,64
Westwood LET,Windows,26
Latin Modern Mono Caps,Linux,43
Comic Sans MS Gras,Mac OS X,31
Ume Gothic C5,Linux,59
12x10,Windows,28
Ume Gothic O5,Linux,59
Tlwg Mono,Linux,77
ITF Devanagari,Mac OS X,287
Ume P Mincho,Linux,59
W,Windows,54
Bickham Script Pro Regular,Windows,21
OldDreadfulNo7 BT,Windows,23
36p Kana,Mac OS X,160
Georgia Italique,Mac OS X,31
Ostrich Sans Heavy,Windows,49
Arial Narrow Italique,Mac OS X,31
Ume UI Gothic O5,Linux,59
IV50,Windows,110
Laksaman,Linux,104
Hiragino Sans,Mac OS X,232
Charlie,Windows,21
Gabo Drive,Windows,49
IV25,Windows,110
Nuosu SIL,Linux,38
NewJumja,Windows,24
Ki,Windows,28
Tiranti Solid LET,Windows,26
Verdana Gras,Mac OS X,31
Phosphate,Mac OS X,287
TSCu,Linux,24
Noto Sans Emoji,Chrome OS,26
TAMu,Linux,24
MisterEarl BT,Windows,26
PakType Naqsh,Linux,23
Ume Gothic,Linux,59
ITF Devanagari Marathi,Mac OS X,230
Police système Courant,Mac OS X,28
Mona Lisa Solid ITC TT,Mac OS X,29
Thonburi Gras,Mac OS X,31
Tlwg Typewriter,Linux,77
WenQuanYi Zen Hei Sharp,Linux,32
Bodoni 72,Mac OS X,287
Smudger LET,Windows,24
P,Windows,197
Tahoma Gras,Mac OS X,31
Apple Emoji couleur,Mac OS X,25
MotoyaG04MinchoMono,Chrome OS,64
Mekanik LET,Windows,21
FixedSys,Windows,61
Police système Moyen,Mac OS X,28
msam10,Linux,81
Helvetica Gras,Mac OS X,31
Clarendon,Windows,25
HCR Batang,Windows,24
John Handy LET,Windows,23
Times Italique,Mac OS X,31
Courier New Italique,Mac OS X,31
Highlight LET,Windows,21
Police système Gras,Mac OS X,35
Oxygen-Sans,Linux,48
Latin Modern Sans,Linux,43
Times Gras italique,Mac OS X,31
Ume Gothic S5,Linux,59
Synchro LET,Mac OS X,32
Times New Roman Gras Italique,Mac OS X,31
Albertus Medium,Windows,21
Latin Modern Sans Demi Cond,Linux,43
Ruach LET,Windows,22
eufm10,Linux,81
Police système Léger,Mac OS X,28
CL,Windows,28
Arial Gras,Mac OS X,31
Latin Modern Mono Light,Linux,43
AR PL UMing TW MBE,Linux,45
Ume P Gothic C4,Linux,59
SchoolHouse Printed A,Mac OS X,29
AR PL UMing CN,Linux,45
Milano LET,Windows,23
Latin Modern Roman Caps,Linux,43
PingFang TC,Mac OS X,232
AR PL UMing TW,Linux,45
Enigmatic Unicode,Windows,22
Garamond Premr Pro,Windows,22
Victorian LET,Windows,23
Mishafi Gold,Mac OS X,287
wasy10,Linux,83
Georgia Gras Italique,Mac OS X,31
Arial Gras Italique,Mac OS X,31
Marigold,Windows,22
Arial Italique,Mac OS X,31
Latin Modern Roman Demi,Linux,43
Latin Modern Mono Slanted,Linux,43
Courier New Gras,Mac OS X,31
MotoyaG04Mincho,Chrome OS,64
SchoolHouse Cursive B,Mac OS X,29
Courier New Gras Italique,Mac OS X,31
Bordeaux Roman Bold LET,Mac OS X,30
Princetown LET,Mac OS X,29
Latin Modern Mono Prop Light,Linux,43
Pump Demi Bold LET,Windows,22
Latin Modern Roman,Linux,43
Latin Modern Mono Prop,Linux,43
Ume P Gothic,Linux,59
AR PL UMing HK,Linux,45
Times New Roman Gras,Mac OS X,31
Brush Script MT Italique,Mac OS X,31
cursor,Linux,25
Arial Narrow Gras Italique,Mac OS X,31
Ume UI Gothic,Linux,59
Ume P Gothic O5,Linux,59
Letter Gothic,Windows,26
Times New Roman Italique,Mac OS X,31
Scruff LET,Windows,24
SAPDings,Windows,22
La Bamba LET,Windows,25
Wolf,Windows,27
Bradley Hand,Mac OS X,287
Yuanti TC,Mac OS X,160
Microsoft Yahei,Linux,25
msbm10,Linux,81
Virgo 01,Windows,52
Ume Gothic S4,Linux,59
ParkAvenue BT,Windows,23
Trebuchet MS Gras Italique,Mac OS X,31
TG Pagella Math,Linux,24
Latin Modern Roman Dunhill,Linux,43
Eeyek Unicode,Linux,37
